45,66
6,30
41,41
40,76
38,32
7,25
49,62
22,71
37,20
26,53
47,67
42,39
41,69
10,57
45,93
48,15
5,56
18,66
4,20
22,33
4,91
25,67
49,19
1,37
28,30
16,4
47,64
46,75
47,89
14,48
26,45
15,19
6,17
31,42
2,15
45,54
13,56
26,80
41,59
24,55
29,71
28,15
34,90
40,40
25,43
26,55
27,75
31,52
4,37
4,52
2,47
26,62
22,24
1,56
50,32
21,86
15,70
4,47
38,95
12,13
13,5
44,79
38,53
17,4
48,95
45,15
39,22
44,37
20,9
31,14
29,82
25,17
23,18
5,88
15,31
12,12
15,30
34,42
20,41
48,22
41,97
16,31
45,84
12,47
48,86
10,72
16,11
24,54
33,75
30,71
31,44
11,26
43,3
4,78
9,39
23,10
22,98
41,1
3,38
33,54
29,14
4,6
15,21
12,27
44,9
11,74
25,80
23,39
26,78
14,63
34,6
26,88
3,91
40,71
23,11
47,53
3,17
37,82
49,42
17,92
22,52
46,18
21,25
30,91
24,4
18,32
17,68
50,35
44,30
11,57
5,30
17,6
28,82
28,38
31,77
20,57
28,25
2,58
44,87
27,20
50,28
38,22
45,60
9,15
14,69
18,5
3,58
6,67
20,65
38,82
28,24
38,44
7,34
9,83
10,25
41,6
39,57
43,85
4,5
3,32
3,54
48,92
16,12
49,78
22,65
26,21
3,70
21,94
35,98
37,42
1,6
42,8
44,36
5,82
18,64
25,47
50,67
24,36
10,88
10,89
49,35
47,97
16,41
43,76
8,74
35,45
29,35
22,75
47,7
47,99
36,33
14,75
28,5
44,70
16,83
46,98
21,56
29,67
30,56
35,62
15,76
39,18
13,44
4,92
38,78
31,52
5,26
31,60
4,52
16,40
46,18
25,56
42,19
26,98
39,20
6,22
3,32
1,65
20,3
25,64
21,85
39,87
17,42
45,32
13,11
14,51
6,35
45,33
34,12
18,76
40,80
25,24
28,2
46,39
46,1
46,32
43,4
39,80
19,92
23,58
10,37
7,56
19,62
22,72
21,55
26,97
29,92
23,27
29,50
21,90
20,53
39,99
4,64
47,9
48,24
26,86
26,50
25,34
50,56
25,12
7,40
34,48
39,53
43,59
44,2
36,9
8,37
30,30
49,28
41,24
41,35
48,9
17,19
43,22
47,38
47,78
18,72
10,15
42,30
43,55
38,12
14,70
28,52
29,84
23,54
19,67
11,36
28,15
2,57
14,49
33,40
7,39
35,4
42,78
38,90
44,69
38,95
13,65
14,35
43,21
15,5
4,21
3,78
40,94
23,7
34,59
7,28
44,30
10,87
10,55
35,38
15,72
3,29
27,42
16,37
41,10
34,33
20,2
41,34
42,46
39,49
5,7
42,71
16,10
23,42
8,94
15,44
17,56
15,27
35,58
19,36
33,89
21,57
16,31
7,38
6,73
16,6
36,69
33,32
28,15
3,69
14,12
47,10
2,27
46,25
29,78
1,22
26,56
19,43
4,52
10,31
4,97
29,35
14,96
8,84
7,90
18,47
39,91
16,74
8,71
14,93
46,31
45,27
37,4
46,92
41,14
29,14
34,66
34,3
2,2
17,19
36,68
27,53
19,74
18,99
38,4
2,71
28,73
26,89
2,35
10,2
18,70
33,97
46,61
33,97
19,89
22,20
37,91
37,73
27,44
24,2
19,17
13,37
22,65
11,19
17,92
37,95
7,29
35,76
16,16
46,69
47,76
21,46
24,67
38,69
31,36
25,39
38,95
13,33
22,5
31,56
22,2
2,64
21,48
10,42
27,40
26,4
31,38
45,6
7,19
6,24
30,60
39,16
26,76
2,92
5,59
1,84
8,31
40,80
5,6
20,4
31,46
45,45
25,24
17,74
41,49
24,71
30,61
24,58
28,21
4,55
28,79
44,71
18,81
50,58
40,16
28,22
3,39
19,67
26,74
39,1
1,86
22,17
14,27
33,62
34,92
34,32
49,59
33,81
48,46
22,73
19,79
24,39
45,22
15,25
35,93
29,25
4,82
46,61
20,33
7,44
3,14
30,62
36,26
2,14
10,32
12,6
6,88
23,6
9,6
15,63
5,70
5,68
17,19
26,59
8,88
7,66
36,1
41,37
49,28
6,86
50,61
25,15
5,96
49,79
23,75
11,26
10,18
21,11
50,18
39,27
24,22
13,7
27,58
19,66
21,58
17,82
47,81
39,69
7,5
30,8
18,68
14,15
35,39
28,26
9,59
25,88
18,44
2,96
18,47
26,78
30,31
42,63
41,21
12,74
16,73
38,58
49,25
50,9
45,54
28,86
2,3
32,43
19,41
29,56
37,67
8,47
14,72
50,83
32,55
44,17
11,92
14,70
6,32
50,21
48,2
47,77
17,51
8,3
50,64
22,58
32,57
23,66
33,52
17,45
1,97
19,23
22,56
32,29
32,1
14,4
4,50
46,61
38,85
16,18
16,40
27,27
44,99
17,51
6,49
41,48
4,77
32,51
13,39
47,59
14,43
40,91
33,96
5,9
50,14
25,30
49,52
24,44
14,54
44,90
34,61
46,57
36,67
45,19
21,81
23,43
48,6
44,33
2,83
30,4
47,34
44,11
21,8
24,83
24,18
19,32
29,55
11,55
31,40
46,95
15,51
33,89
3,59
43,42
25,4
1,21
50,63
23,66
40,91
13,9
21,4
24,4
22,57
36,82
47,86
33,92
8,47
12,93
38,94
29,13
44,95
22,35
45,77
18,35
2,90
47,31
12,68
45,6
42,13
4,74
47,16
15,43
44,17
29,82
4,68
6,15
2,11
19,35
23,72
40,92
35,98
29,51
28,17
47,69
27,2
45,78
35,90
34,13
23,58
9,61
37,84
13,82
10,85
28,85
3,39
25,72
14,23
7,76
50,63
5,52
1,76
45,8
14,76
43,31
26,11
2,61
47,50
49,32
41,71
38,42
7,78
30,59
5,57
17,7
27,71
30,90
38,70
17,87
21,81
9,69
42,19
4,52
18,66
46,79
2,22
16,16
44,55
47,10
17,81
36,76
5,94
5,22
50,6
21,10
27,32
28,2
40,85
27,98
31,75
28,54
14,71
47,94
12,72
23,58
9,2
6,84
48,41
10,43
18,65
14,88
41,74
32,43
32,78
15,34
40,29
35,98
38,33
16,18
16,8
8,17
24,19
35,4
5,9
26,13
23,62
39,2
25,65
18,41
41,92
41,23
3,11
18,47
16,79
31,11
17,47
22,22
50,3
16,35
42,78
39,19
8,22
36,51
39,8
32,34
23,56
39,40
47,73
36,72
22,31
35,33
25,64
17,88
34,87
29,55
20,40
17,48
31,35
24,60
10,17
42,56
19,44
28,59
13,85
33,13
23,46
21,33
2,3
2,71
20,16
1,92
30,75
39,81
4,55
9,23
43,25
16,16
31,63
25,70
21,88
29,62
41,71
48,97
33,22
16,8
50,75
23,1
1,87
30,27
34,52
6,84
41,52
3,52
29,43
46,56
48,3
31,71
36,98
8,5
6,62
15,2
47,64
25,53
20,75
20,67
45,96
46,21
32,51
10,77
31,13
17,12
30,14
43,86
35,29
17,87
6,11
37,67
3,72
16,46
31,55
16,25
20,52
44,54
48,7
49,91
15,1
9,46
40,32
22,26
38,74
50,71
12,40
49,78
28,64
7,59
41,1
15,21
24,13
31,46
39,12
23,5
24,1
36,14
42,21
31,39
21,23
12,73
14,94
39,24
50,9
48,65
50,61
18,39
45,73
46,9
43,89
17,42
33,78
1,60
47,79
16,44
45,5
48,73
17,14
4,4
8,79
42,28
17,52
37,32
2,56
33,44
22,29
35,6
27,49
35,76
19,69
31,70
44,94
21,36
31,7
24,8
24,49
20,45
26,22
49,96
35,97
44,19
7,76
17,59
12,2
15,59
28,95
31,50
5,62
35,57
9,70
21,37
44,96
5,8
11,65
7,95
21,51
25,31
15,60
47,81
25,77
12,99
5,54
16,8
15,89
48,86
43,97
37,8
47,98
50,96
43,43
34,70
24,83
28,85
36,86
6,31
35,2
22,7
23,81
46,84
45,45
20,52
14,17
40,56
34,98
31,81
2,53
7,40
33,59
33,11
37,37
25,36
9,58
12,47
12,74
41,13
8,46
50,85
30,80
36,37
4,29
6,56
44,30
7,52
31,70
27,97
10,83
33,56
10,81
23,68
2,75
29,70
37,98
43,40
34,10
3,31
9,36
20,86
42,64
5,14
38,99
18,63
34,64
36,87
15,53
42,43
7,36
35,76
25,22
42,76
22,29
32,8
40,45
13,52
15,59
14,6
8,42
24,3
49,29
3,17
49,31
10,75
40,34
42,43
33,8
18,91
4,28
10,83
5,83
27,3
40,95
